bronze          | 26/04/18 21:19:30 INFO MicroBatchExecution: Committed offsets for batch 292. Metadata OffsetSeqMetadata(0,1776547170023,Map(spark.sql.streaming.stateStore.providerClass -> org.apache.spark.sql.execution.streaming.state.HDFSBackedStateStoreProvider, spark.sql.streaming.join.stateFormatVersion -> 2, spark.sql.streaming.stateStore.compression.codec -> lz4, spark.sql.streaming.stateStore.rocksdb.formatVersion -> 5, spark.sql.streaming.statefulOperator.useStrictDistribution -> true, spark.sql.streaming.flatMapGroupsWithState.stateFormatVersion -> 2, spark.sql.streaming.multipleWatermarkPolicy -> min, spark.sql.streaming.aggregation.stateFormatVersion -> 2, spark.sql.shuffle.partitions -> 24))
silver          | 26/04/18 21:19:30 INFO BlockManagerInfo: Removed broadcast_2702_piece0 on 172.18.0.8:32917 in memory (size: 38.3 KiB, free: 864.8 MiB)
gold            | 26/04/18 21:19:30 INFO BlockManagerInfo: Added rdd_810_15 in memory on 172.18.0.9:35481 (size: 648.0 B, free: 1222.5 MiB)
silver          | 26/04/18 21:19:30 INFO BlockManagerInfo: Removed broadcast_2701_piece0 on 0931fa047f38:46793 in memory (size: 148.8 KiB, free: 135.6 MiB)
silver          | 26/04/18 21:19:30 INFO BlockManagerInfo: Removed broadcast_2701_piece0 on 172.18.0.7:43221 in memory (size: 148.8 KiB, free: 864.8 MiB)
silver          | 26/04/18 21:19:30 INFO BlockManagerInfo: Removed broadcast_2701_piece0 on 172.18.0.9:37307 in memory (size: 148.8 KiB, free: 865.0 MiB)
silver          | 26/04/18 21:19:30 INFO BlockManagerInfo: Removed broadcast_2701_piece0 on 172.18.0.6:36531 in memory (size: 148.8 KiB, free: 864.8 MiB)
bronze          | 26/04/18 21:19:30 INFO KafkaOffsetReaderAdmin: Partitions added: Map()
bronze          | 26/04/18 21:19:30 INFO KafkaOffsetReaderAdmin: Partitions added: Map()
bronze          | 26/04/18 21:19:30 INFO KafkaOffsetReaderAdmin: Partitions added: Map()
bronze          | 26/04/18 21:19:30 INFO KafkaOffsetReaderAdmin: Partitions added: Map()
gold            | 26/04/18 21:19:30 INFO TaskSetManager: Starting task 16.0 in stage 553.0 (TID 2447) (172.18.0.9, executor 6, partition 16, NODE_LOCAL, 8029 bytes) 
gold            | 26/04/18 21:19:30 INFO TaskSetManager: Finished task 15.0 in stage 553.0 (TID 2446) in 460 ms on 172.18.0.9 (executor 6) (22/50)
bronze          | 2026-04-18 21:19:30 [INFO ] py4j.clientserver: Received command c on object id p0
gold            | 26/04/18 21:19:31 INFO BlockManagerInfo: Added rdd_217_16 in memory on 172.18.0.9:35481 (size: 1151.0 B, free: 1222.5 MiB)
bronze          | 26/04/18 21:19:31 INFO SparkContext: Starting job: start at <unknown>:0
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Got job 636 (start at <unknown>:0) with 1 output partitions
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Final stage: ResultStage 717 (start at <unknown>:0)
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Parents of final stage: List()
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Missing parents: List()
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Submitting ResultStage 717 (MapPartitionsRDD[3822] at start at <unknown>:0), which has no missing parents
bronze          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_1163 stored as values in memory (estimated size 47.6 KiB, free 135.0 MiB)
gold            | 26/04/18 21:19:31 INFO BlockManagerInfo: Added rdd_810_16 in memory on 172.18.0.9:35481 (size: 628.0 B, free: 1222.5 MiB)
bronze          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_1163_piece0 stored as bytes in memory (estimated size 17.9 KiB, free 135.0 MiB)
bronze          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_1163_piece0 in memory on 2725c065960b:41071 (size: 17.9 KiB, free: 136.2 MiB)
bronze          | 26/04/18 21:19:31 INFO SparkContext: Created broadcast 1163 from broadcast at DAGScheduler.scala:1585
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Submitting 1 missing tasks from ResultStage 717 (MapPartitionsRDD[3822] at start at <unknown>:0) (first 15 tasks are for partitions Vector(0))
bronze          | 26/04/18 21:19:31 INFO TaskSchedulerImpl: Adding task set 717.0 with 1 tasks resource profile 0
bronze          | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 0.0 in stage 717.0 (TID 3984) (172.18.0.6, executor 13, partition 0, PROCESS_LOCAL, 10410 bytes) 


